Element,Z,a1,a2,a3,a4,b1,b2,b3,b4,sigma
H,1,0.0367,0.1269,0.236,0.129,0.5608,3.7913,13.5557,37.7229,0.0011
He,2,0.0406,0.1276,0.1738,0.0758,0.314,2.0952,7.1369,19.4462,0.0003
Li,3,0.1198,0.3952,1.3794,1.3889,0.5908,6.1114,36.7672,117.0314,0.0029
Be,4,0.118,0.4394,1.4273,1.0661,0.4599,4.4816,21.5831,66.115,0.0019
B,5,0.1298,0.52,1.3767,0.7666,0.418,3.9214,16.6634,51.7511,0.0015
C,6,0.1361,0.5482,1.2266,0.5971,0.3731,3.2814,13.0456,41.0202,0.0013
N,7,0.1372,0.5344,1.0862,0.4547,0.3287,2.6733,10.3165,32.7631,0.0015
O,8,0.1433,0.5103,0.937,0.3923,0.3055,2.2683,8.2625,25.6645,0.0007
F,9,0.1516,0.5193,0.822,0.3081,0.2888,2.0619,7.2628,22.0262,0.0005
Ne,10,0.1575,0.5041,0.733,0.2572,0.2714,1.8403,6.3059,19.164,0.0004
Na,11,0.3319,0.9857,1.4885,1.9657,0.495,4.0855,31.5107,118.494,0.0059
Mg,12,0.3248,0.9243,2.0039,1.9507,0.4455,3.5744,24.2702,80.7304,0.0046
Al,13,0.3582,0.9754,2.6393,1.9103,0.4529,3.7745,23.3862,80.5019,0.0055
Si,14,0.3626,0.9737,2.7209,1.766,0.4281,3.557,19.3905,64.3334,0.0044
P,15,0.354,0.9397,2.6203,1.5707,0.3941,3.181,15.6579,49.5239,0.0034
S,16,0.3478,0.9158,2.5066,1.3884,0.3652,2.8915,13.0522,40.1848,0.0027
Cl,17,0.3398,0.8908,2.3878,1.2376,0.3379,2.619,11.0684,33.5378,0.0021
Ar,18,0.3409,0.8966,2.2636,1.0786,0.3229,2.4778,9.7408,28.9354,0.0016
K,19,0.5658,2.4151,2.4655,3.524,0.5061,5.7656,31.9169,151.259,0.0135
Ca,20,0.5474,2.2793,3.1934,3.8824,0.47,5.0494,29.6928,109.5608,0.0111
Sc,21,0.5389,2.2102,3.1187,3.4302,0.4446,4.5701,26.4597,98.1283,0.0098
Ti,22,0.5398,2.1568,2.9961,3.0751,0.4281,4.2236,24.1928,90.6685,0.0091
V,23,0.5412,2.1063,2.8525,2.7967,0.4132,3.9256,22.3625,84.4689,0.0084
Cr,24,0.5478,2.0737,2.3527,1.9866,0.4032,3.7014,20.0893,87.923,0.0079
Mn,25,0.5552,2.0073,2.5678,2.3695,0.3947,3.48,19.5862,74.9201,0.0073
Fe,26,0.5627,1.9685,2.4527,2.175,0.3859,3.3103,18.7003,71.6638,0.0069
Co,27,0.573,1.9219,2.3358,2.0177,0.3799,3.1572,17.8168,68.4867,0.0065
Ni,28,0.5785,1.8679,2.2229,1.894,0.3704,2.9964,16.8507,65.2843,0.0061
Cu,29,0.5932,1.8344,1.808,1.3586,0.368,2.8959,15.6333,70.68,0.0059
Zn,30,0.5996,1.7763,2.024,1.6598,0.3602,2.7665,15.5278,60.283,0.0054
Ga,31,0.6737,1.8457,2.6395,1.9413,0.3901,3.0289,19.0448,74.1674,0.0077
Ge,32,0.666,1.7662,2.8876,2.051,0.3741,2.839,17.2911,62.5149,0.0067
As,33,0.6504,1.6706,2.993,2.0018,0.355,2.6169,15.11,50.8113,0.0054
Se,34,0.6343,1.5698,3.0362,1.9607,0.3374,2.4,13.1385,42.4344,0.0043
Br,35,0.6216,1.4943,3.0763,1.8642,0.3216,2.2338,11.7075,36.7639,0.0036
Kr,36,0.624,1.4352,3.0847,1.7511,0.3144,2.1394,10.606,32.4403,0.0031
Rb,37,1.018,2.8882,3.5125,4.3375,0.485,5.1504,26.1762,155.1291,0.0202
Sr,38,1.0127,2.9403,3.992,5.1441,0.4721,4.9802,26.8565,116.0307,0.0179
Y,39,0.9722,2.8705,4.1571,4.6466,0.4427,4.5552,24.0646,99.1688,0.0154
Zr,40,0.9592,2.8531,4.1761,4.1491,0.4279,4.3237,22.151,89.7694,0.0137
Nb,41,0.9337,2.8218,3.9092,2.988,0.4074,4.0572,19.4778,85.5042,0.0121
Mo,42,0.9334,2.8581,3.8278,2.6302,0.3996,3.9476,18.6153,82.5062,0.0112
Tc,43,0.9282,2.8832,3.8985,3.1237,0.3894,3.8131,18.2715,74.4844,0.0107
Ru,44,0.9175,2.8691,3.548,2.203,0.3776,3.6434,16.4538,74.459,0.0097
Rh,45,0.9046,2.8679,3.3997,2.051,0.3646,3.4888,15.5106,71.3737,0.0088
Pd,46,0.7832,2.1753,3.2003,1.4127,0.3094,2.5857,9.8481,37.4035,0.0044
Ag,47,0.9085,2.9433,3.1021,1.7092,0.3541,3.3319,14.7723,70.5441,0.0085
Cd,48,0.9056,2.943,3.1814,2.1946,0.3466,3.2215,14.7749,62.3544,0.0081
In,49,0.966,3.1971,3.6243,2.6351,0.3648,3.4534,18.3358,75.8859,0.0111
Sn,50,0.9481,3.1011,3.8863,2.9142,0.3518,3.2474,17.4348,66.0384,0.0099
Sb,51,0.9323,2.9938,4.0829,2.9578,0.3405,3.0545,16.2843,56.5387,0.0084
Te,52,0.906,2.8392,4.1639,3.0782,0.3256,2.817,14.6041,48.088,0.0071
I,53,0.8912,2.7442,4.3316,2.9328,0.315,2.6616,13.6958,43.2296,0.0064
Xe,54,0.8749,2.6276,4.4112,2.8758,0.3046,2.4959,12.5908,38.5666,0.0054
Cs,55,1.2968,3.8609,5.6613,5.6489,0.4462,4.3194,24.1136,168.3481,0.0301
Ba,56,1.3111,3.9542,5.8693,7.0998,0.4432,4.3226,24.3857,128.5976,0.0285
La,57,1.2872,3.8478,6.0581,6.5606,0.4283,4.0782,22.4363,109.8403,0.0251
Ce,58,1.3019,3.8491,5.8568,6.3222,0.4256,4.0288,22.002,107.6524,0.0244
Pr,59,1.3354,3.8652,5.3,6.4296,0.4305,4.0368,22.1273,117.0334,0.0259
Nd,60,1.3473,3.8589,5.1226,6.2264,0.4266,3.9844,21.8395,114.8891,0.0247
Pm,61,1.3631,3.8462,4.9578,6.0228,0.4253,3.9386,21.633,112.8589,0.0243
Sm,62,1.3702,3.827,4.8068,5.8402,0.4204,3.8747,21.384,110.9527,0.0238
Eu,63,1.3963,3.8201,4.6869,5.6321,0.423,3.8621,21.4604,110.3872,0.0234
Gd,64,1.3784,3.7349,4.8549,5.2564,0.4105,3.7014,20.2877,96.0364,0.0205
Tb,65,1.4257,3.7865,4.4336,5.2698,0.4182,3.7931,21.3185,107.633,0.0233
Dy,66,1.4104,3.6934,4.3012,5.1904,0.4076,3.6339,20.3594,103.6978,0.0213
Ho,67,1.3805,3.5395,4.4117,5.0148,0.3938,3.4131,18.4989,86.9074,0.0171
Er,68,1.4391,3.6351,4.0572,4.9059,0.4038,3.5707,20.0727,100.4842,0.0202
Tm,69,1.4561,3.6041,3.936,4.7711,0.4028,3.5468,19.9521,98.6682,0.0197
Yb,70,1.4617,3.5735,3.8563,4.6254,0.3986,3.4988,19.905,97.9782,0.0192
Lu,71,1.4381,3.4689,4.0824,4.4599,0.3874,3.3304,18.8077,84.5078,0.0169
Hf,72,1.4209,3.3984,4.2315,4.1,0.3772,3.2109,17.772,76.0916,0.0153
Ta,73,1.4163,3.3456,4.3281,3.7406,0.3714,3.1289,16.8719,70.3632,0.0141
W,74,1.4109,3.2997,4.3698,3.4408,0.3653,3.0517,15.963,65.7545,0.0131
Re,75,1.3898,3.2373,4.3683,3.2472,0.3548,2.9382,14.85,60.6048,0.0117
Os,76,1.3877,3.2082,4.3731,2.9958,0.3502,2.8796,14.1535,57.3692,0.011
Ir,77,1.3783,3.1637,4.3549,2.805,0.344,2.7975,13.364,54.3356,0.0101
Pt,78,1.3489,3.0674,4.2095,2.1738,0.3322,2.6601,12.0128,50.3882,0.0091
Au,79,1.3413,3.0559,4.1659,2.0022,0.3262,2.6076,11.5043,48.4954,0.0084
Hg,80,1.3592,3.1327,4.1897,2.2748,0.3265,2.6458,11.6919,47.9347,0.0084
Tl,81,1.4735,3.6368,4.395,2.5803,0.35,3.0849,14.9338,65.0072,0.0121
Pb,82,1.47,3.6387,4.5674,2.9103,0.3452,3.034,14.8562,60.2174,0.0117
Bi,83,1.4616,3.6426,4.7876,3.1935,0.3396,2.9739,14.8388,56.7362,0.0113
Po,84,1.4255,3.5214,4.9058,3.4925,0.3274,2.8031,13.8305,50.1382,0.01
At,85,1.417,3.4829,5.0951,3.4639,0.3224,2.7289,13.4904,46.2094,0.0089
Rn,86,1.4001,3.4082,5.2516,3.425,0.3153,2.6261,12.9003,42.3929,0.0083
