# Parameterization of the temperature dependence of the Debye-Waller factors, Gao and Peng, Acta Cryst.(1999). A55, 926-932
Element Z Structure a0 a1 a2 a3 a4 ME Reference
He 2 H.c.p. 16.03115 0.1926E-01 0.6846E-01 -0.5670E-02 0.9275E-03 0.01 [1]
He 2 F.c.c. 4.55876 -0.2830E-02 0.9170E-02 -0.1670E-02 0.1334E-03 0.01 [2]
Li 3 B.c.c. 1.20401 -0.4142E-03 0.1264E-03 -0.3584E-06 -0.5327E-09 0.03 [3]
Be 4 H.c.p. 0.36275 0.6590E-05 -0.7256E-06 0.2249E-07 -0.5366E-10 0.01 [4]
C 6 Diamond 0.11918 -0.6360E-07 0.1962E-06 0.3167E-09 -0.1858E-11 0.01 [5]
Ne 10 F.c.c. 1.66115 0.2430E-02 -0.3280E-03 0.1197E-03 -0.2696E-05 0.03 [6]
Na 11 B.c.c. 0.81176 -0.1380E-02 0.3954E-03 -0.3464E-05 0.1240E-07 0.08 [7]
Mg 12 H.c.p. 0.42425 0.1714E-03 0.2935E-04 0.1405E-06 -0.1449E-08 0.06 [4]
Al 13 F.c.c. 0.27196 -0.4254E-04 0.7433E-05 0.7042E-07 -0.4391E-09 0.02 [8]
Si 14 Diamond 0.19284 0.1670E-04 -0.7475E-06 0.1410E-06 -0.8174E-09 0.02 [5]
Ar 18 F.c.c. 0.82048 -0.2580E-02 0.9105E-03 -0.1047E-04 0.4603E-07 0.29 [9]
K 19 B.c.c. 0.78847 -0.2233E-03 0.8963E-03 -0.1055E-04 0.4711E-07 0.37 [10]
Ca 20 F.c.c. 0.31376 -0.1804E-03 0.8118E-04 -0.4502E-06 0.8299E-09 0.05 [11]
Ca 20 B.c.c. 0.37894 -0.4210E-03 0.1313E-03 -0.1006E-05 0.3204E-08 0.05 [12]
Sc 21 H.c.p. 0.20201 -0.9230E-04 0.5810E-05 0.1373E-06 -0.9440E-09 0.04 [13]
Ti 22 H.c.p. 0.16677 0.2669E-04 0.2068E-05 0.1022E-06 -0.6030E-09 0.02 [14]
V 23 B.c.c. 0.15421 0.6057E-04 0.1253E-04 -0.5130E-07 0.1305E-09 0.03 [15]
Cr 24 B.c.c. 0.11316 -0.4193E-05 0.2064E-05 -0.1451E-10 0.3307E-10 0.02 [16]
Fe 26 B.c.c. 0.12132 -0.1893E-04 0.3513E-05 0.1327E-07 -0.8533E-10 0.02 [17]
Fe 26 F.c.c. 0.15517 -0.1997E-04 0.9983E-05 0.8506E-08 -0.2064E-09 0.02 [18]
Ni 28 F.c.c. 0.12573 -0.1977E-04 0.2775E-05 0.3922E-07 -0.2291E-09 0.01 [19]
Cu 29 F.c.c. 0.14616 -0.1212E-04 0.8220E-05 0.4448E-07 -0.4132E-09 0.01 [20]
Zn 30 H.c.p. 0.20745 -0.2901E-03 0.3690E-04 -0.3618E-07 -0.8717E-09 0.24 [4]
Ge 32 Diamond 0.13367 -0.2609E-03 0.2061E-04 -0.4908E-07 -0.2569E-09 0.14 [5]
Kr 36 F.c.c. 0.52667 0.1250E-02 0.8848E-03 -0.1137E-04 0.5367E-07 0.86 [21]
Rb 37 B.c.c. 0.57468 0.7600E-02 0.1160E-02 -0.1563E-04 0.7640E-07 1.76 [22]
Sr 38 B.c.c. 0.30725 -0.1276E-03 0.2858E-03 -0.3173E-05 0.1362E-07 0.20 [23]
Y 39 H.c.p. 0.15651 -0.1590E-03 0.2634E-04 -0.3492E-07 -0.4910E-09 0.11 [24]
Zr 40 H.c.p. 0.12491 -0.6417E-04 0.1215E-04 0.3310E-07 -0.5068E-09 0.06 [25]
Nb 41 B.c.c. 0.10862 -0.4088E-04 0.1003E-04 -0.4529E-08 -0.1664E-09 0.01 [26]
Mo 42 B.c.c. 0.07620 0.3230E-04 0.1210E-05 0.2189E-07 -0.1052E-09 0.02 [27]
Pd 46 F.c.c. 0.10288 -0.1177E-03 0.1154E-04 -0.6362E-08 -0.2215E-09 0.04 [28]
Ag 47 F.c.c. 0.12932 -0.7537E-04 0.2371E-04 -0.5679E-07 -0.2679E-09 0.10 [29]
Sn 50 Diamond 0.14057 -0.8009E-03 0.9321E-04 -0.9629E-06 0.3901E-08 0.56 [30]
Xe 54 F.c.c. 0.38452 0.4820E-02 0.7547E-03 -0.1007E-04 0.4870E-07 1.23 [31]
Cs 55 B.c.c. 0.50698 0.2166E-01 0.1350E-02 -0.1933E-04 0.9769E-07 3.58 [32]
Ba 56 B.c.c. 0.23013 -0.3114E-03 0.2572E-03 -0.2981E-05 0.1314E-07 0.38 [33]
La 57 F.c.c. 0.18446 -0.6587E-03 0.1378E-03 -0.1364E-05 0.5296E-08 0.26 [34]
Tb 65 H.c.p. 0.12655 -0.2718E-03 0.5559E-04 -0.4050E-06 0.1100E-08 0.20 [35]
Ho 67 H.c.p. 0.11529 -0.2341E-03 0.4000E-04 -0.2202E-06 0.2775E-09 0.25 [36]
Ta 73 B.c.c. 0.06738 0.1172E-04 0.5384E-05 0.4135E-07 -0.4006E-09 0.07 [37]
W 74 B.c.c. 0.04702 0.3234E-04 0.9579E-06 0.2342E-07 -0.1351E-09 0.04 [38]
Pt 78 F.c.c. 0.06770 -0.4038E-04 0.1223E-04 -0.3998E-07 -0.5083E-10 0.06 [39]
Au 79 F.c.c. 0.08767 -0.2654E-03 0.3587E-04 -0.2836E-06 0.9104E-09 0.07 [29]
Pb 82 F.c.c. 0.13625 0.1480E-02 0.1297E-03 -0.1434E-05 0.6111E-08 0.19 [40]
Th 90 F.c.c. 0.08981 -0.2508E-03 0.4298E-04 -0.3296E-06 0.9576E-09 0.28 [41]
