# Parameterization of the temperature dependence of the Debye-Waller factors, Gao and Peng, Acta Cryst.(1999). A55, 926-932
Element Z Structure a0 a1 a2 a3 a4 ME
Li 3 B.c.c. 0.90169 0.8780E-02 0.3039E-04 -0.5940E-07 0.4448E-10 0.33
Be 4 H.c.p. 0.35851 -0.1421E-03 0.3225E-05 -0.3136E-08 0.1139E-11 0.69
C 6 Diamond 0.12034 -0.2231E-04 0.3348E-06 -0.2108E-09 0.5320E-13 0.09
Na 11 B.c.c. 0.38531 0.1831E-01 0.2176E-04 -0.5389E-07 0.5105E-10 0.12
Mg 12 H.c.p. 0.22668 0.4830E-02 0.3239E-05 -0.3499E-08 0.1362E-11 1.00
Al 13 F.c.c. 0.18496 0.1630E-02 0.2469E-05 -0.2630E-08 0.1015E-11 1.31
Si 14 Diamond 0.14236 0.9261E-03 0.1623E-05 -0.1677E-08 0.6351E-12 0.93
K 19 B.c.c. 0.24960 0.3377E-01 0.1624E-04 -0.4263E-07 0.4262E-10 0.02
Ca 20 F.c.c. 0.12238 0.6070E-02 0.1815E-05 -0.1975E-08 0.7726E-12 0.62
Ca 20 B.c.c. 0.14441 0.8010E-02 0.2131E-05 -0.2317E-08 0.9057E-12 0.57
Sc 21 H.c.p. 0.11892 0.1650E-02 0.1665E-05 -0.1791E-08 0.6952E-12 1.06
Ti 22 H.c.p. 0.10764 0.1140E-02 0.1470E-05 -0.1573E-08 0.6088E-12 1.12
V 23 B.c.c. 0.09905 0.1370E-02 0.1334E-05 -0.1424E-08 0.5500E-12 1.02
Cr 24 B.c.c. 0.08979 0.3666E-03 0.1137E-05 -0.1198E-08 0.4588E-12 1.24
Fe 26 B.c.c. 0.08725 0.6233E-03 0.1143E-05 -0.1213E-08 0.4670E-12 1.22
Fe 26 F.c.c. 0.09411 0.1370E-02 0.1302E-05 -0.1398E-08 0.5420E-12 1.01
Ni 28 F.c.c. 0.08579 0.7271E-03 0.1152E-05 -0.1229E-08 0.4745E-12 1.24
Cu 29 F.c.c. 0.08444 0.1380E-02 0.1185E-05 -0.1276E-08 0.4956E-12 1.00
Zn 30 H.c.p. 0.10549 0.3030E-02 0.3054E-05 -0.5039E-08 0.3072E-11 0.38
Ge 32 Diamond 0.06984 0.1650E-02 0.9448E-06 -0.1010E-08 0.3904E-12 0.82
Kr 36 F.c.c. 0.21138 0.2794E-01 0.5403E-04 -0.3045E-06 0.6835E-09 0.01
Rb 37 B.c.c. 0.11346 0.4446E-01 0.6973E-05 -0.1760E-07 0.1684E-10 0.01
Sr 38 B.c.c. 0.06924 0.1227E-01 0.1052E-05 -0.1151E-08 0.4515E-12 0.20
Y 39 H.c.p. 0.06510 0.2520E-02 0.9606E-06 -0.1044E-08 0.4082E-12 0.77
Zr 40 H.c.p. 0.06133 0.1570E-02 0.8855E-06 -0.9584E-09 0.3736E-12 0.84
Nb 41 B.c.c. 0.05889 0.1190E-02 0.8383E-06 -0.9048E-09 0.3521E-12 0.88
Mo 42 B.c.c. 0.05292 0.4392E-03 0.7142E-06 -0.7625E-09 0.2946E-12 1.26
Pd 46 F.c.c. 0.05200 0.1220E-02 0.7458E-06 -0.8062E-09 0.3140E-12 0.97
Ag 47 F.c.c. 0.05358 0.2190E-02 0.7901E-06 -0.8588E-09 0.3357E-12 0.69
Sn 50 Diamond 0.13541 0.1900E-02 0.1113E-04 -0.2640E-07 0.2193E-10 1.82
Xe 54 F.c.c. 0.10655 0.2824E-01 0.1613E-04 -0.6878E-07 0.1157E-09 0.01
Cs 55 B.c.c. 0.07343 0.6136E-01 0.4538E-05 -0.1147E-07 0.1098E-10 0.01
Ba 56 B.c.c. 0.04457 0.1016E-01 0.6803E-06 -0.7445E-09 0.2922E-12 0.20
La 57 F.c.c. 0.04370 0.6040E-02 0.6646E-06 -0.7269E-09 0.2852E-12 0.24
Tb 65 H.c.p. 0.03765 0.3200E-02 0.5682E-06 -0.6205E-09 0.2432E-12 0.46
Ho 67 H.c.p. 0.03625 0.2630E-02 0.5462E-06 -0.5963E-09 0.2337E-12 0.57
Ta 73 B.c.c. 0.03159 0.9039E-03 0.4625E-06 -0.5021E-09 0.1961E-12 0.88
W 74 B.c.c. 0.02908 0.3748E-03 0.4073E-06 -0.4382E-09 0.1701E-12 1.20
Pt 78 F.c.c. 0.02938 0.1090E-02 0.4310E-06 -0.4681E-09 0.1829E-12 0.91
Au 79 F.c.c. 0.02981 0.1930E-02 0.4444E-06 -0.4842E-09 0.1895E-12 0.70
Pb 82 F.c.c. 0.03639 0.6980E-02 0.1124E-05 -0.1881E-08 0.1157E-11 0.08
Th 90 F.c.c. 0.02586 0.2330E-02 0.3902E-06 -0.4261E-09 0.1670E-12 0.35
